user_id,skill_name,correctms_response_time
1,statement,0,361576
1,ifstatement,0,361576
1,forloop,0,361576
2,statement,0,429699
2,ifstatement,0,429699
2,forloop,0,429699
3,statement,0,382277
3,ifstatement,0,382277
3,forloop,0,382277
4,statement,1,375233
4,ifstatement,1,375233
4,forloop,1,375233
5,statement,1,486795
5,ifstatement,1,486795
5,forloop,1,486795
6,statement,0,265806
6,ifstatement,0,265806
6,forloop,0,265806
7,statement,1,326761
7,ifstatement,1,326761
7,forloop,1,326761
8,statement,1,251694
8,ifstatement,1,251694
8,forloop,1,251694
9,statement,1,241296
9,ifstatement,1,241296
9,forloop,1,241296
10,statement,0,265086
10,ifstatement,0,265086
10,forloop,0,265086
11,statement,0,373221
11,ifstatement,0,373221
11,forloop,0,373221
12,statement,0,338623
12,ifstatement,0,338623
12,forloop,0,338623
13,statement,0,416971
13,ifstatement,0,416971
13,forloop,0,416971
14,statement,0,474861
14,ifstatement,0,474861
14,forloop,0,474861
15,statement,0,54442
15,ifstatement,0,54442
15,forloop,0,54442
16,statement,1,332331
16,ifstatement,1,332331
16,forloop,1,332331
17,statement,0,59814
17,ifstatement,0,59814
17,forloop,0,59814
18,statement,1,30755
18,ifstatement,1,30755
18,forloop,1,30755
19,statement,0,280271
19,ifstatement,0,280271
19,forloop,0,280271
20,statement,1,307895
20,ifstatement,1,307895
20,forloop,1,307895
21,statement,0,247372
21,ifstatement,0,247372
21,forloop,0,247372
22,statement,1,92742
22,ifstatement,1,92742
22,forloop,1,92742
23,statement,1,152575
23,ifstatement,1,152575
23,forloop,1,152575
24,statement,1,429378
24,ifstatement,1,429378
24,forloop,1,429378
25,statement,0,277291
25,ifstatement,0,277291
25,forloop,0,277291
26,statement,0,120521
26,ifstatement,0,120521
26,forloop,0,120521
27,statement,0,322957
27,ifstatement,0,322957
27,forloop,0,322957
28,statement,1,301106
28,ifstatement,1,301106
28,forloop,1,301106
29,statement,1,435526
29,ifstatement,1,435526
29,forloop,1,435526
30,statement,1,145820
30,ifstatement,1,145820
30,forloop,1,145820
31,statement,1,37953
31,ifstatement,1,37953
31,forloop,1,37953
32,statement,0,308491
32,ifstatement,0,308491
32,forloop,0,308491
33,statement,0,426962
33,ifstatement,0,426962
33,forloop,0,426962
34,statement,1,312809
34,ifstatement,1,312809
34,forloop,1,312809
35,statement,0,194651
35,ifstatement,0,194651
35,forloop,0,194651
36,statement,0,447520
36,ifstatement,0,447520
36,forloop,0,447520
37,statement,1,302388
37,ifstatement,1,302388
37,forloop,1,302388
38,statement,0,446851
38,ifstatement,0,446851
38,forloop,0,446851
39,statement,1,104994
39,ifstatement,1,104994
39,forloop,1,104994
40,statement,0,260372
40,ifstatement,0,260372
40,forloop,0,260372
41,statement,0,232733
41,ifstatement,0,232733
41,forloop,0,232733
42,statement,0,124889
42,ifstatement,0,124889
42,forloop,0,124889
43,statement,1,59717
43,ifstatement,1,59717
43,forloop,1,59717
44,statement,0,344146
44,ifstatement,0,344146
44,forloop,0,344146
45,statement,1,483789
45,ifstatement,1,483789
45,forloop,1,483789
46,statement,1,383693
46,ifstatement,1,383693
46,forloop,1,383693
47,statement,0,327634
47,ifstatement,0,327634
47,forloop,0,327634
48,statement,0,376039
48,ifstatement,0,376039
